Variável,Dado
Resgate e reconstrução da história de violência e resistência do povo indígena Xukuru no contexto dos conflitos socio-ambientais.,TituloTrabalho
Bolsista, Graciana Maria da Silva
Unidade Acadêmica, Saúde Coletiva 
Instituição, UnB
Orientador (a), MARIA DA GRACA LUDERITZ HOEFEL
Introdução," A violência sofrida pelos povos indígenas esteve presente no decorrer do processo histórico e de colonização de toda a América Latina, refletindo disputas territoriais, políticas e econômicas que conduziram à progressiva expropriação do território, desagregação cultural e conseqüente exclusão social desta população. Apesar disso, os povos indígenas forjaram processos de resistência, frente às distintas formas de violência sofrida por eles. Atualmente, o cenário de violência relacionado aos conflitos socioambientais decorrentes do modelo de desenvolvimento adotado constitui grave problema social que compromete a manutenção da vida, da cultura e do legado histórico das populações indígenas. Isto posto, esta pesquisa busca analisar as formas de resistência e violência no contexto dos conflitos socioambientais indígenas, no período de 2000 a 2011, vivenciados pelos povos Fulni-ô, Xucuru, Tupinikim e Baré, localizados nos estados de Pernambuco, Espírito Santo e Amazonas."
Metodologia," Trata-se de uma pesquisa-ação, composta por uma fase documental e uma fase destinada ao desenvolvimento de processos de resgate de memória e reconstrução da história dos processos de resistência e violência indígenas a partir do olhar da própria comunidade, bem como a construção de quatro espaços sócio-culturais (Memoriais físicos) e um Memorial virtual, que poderá abrigar o arquivo histórico fruto da pesquisa e as demais produções pactuadas pelas comunidades das respectivas aldeias. Este trabalho representa um recorte do estudo, cujos resultados referem-se somente à fase de resgate de memória e reconstrução da história de resistência e violência dos povos indígenas. Os dados são advindos de produções de vídeos, fotografias e oficinas com lideranças e jovens dos povos Fulni-ô, Xucuru, Tupinikim e Baré, realizados pelo Projeto de Extensão Vidas Paralelas Indígena, durante o I Encontro Nacional, promovido em Brasília em 2012."
Resultados," As principais formas de violência relacionadas ao período estudado referem-se, respectivamente, aos conflitos relacionados à disputa pelo território com a empresa Aracruz, para o povo indígena Tupinikim do Espírito Santo, aos confrontos entre indígenas Xucuru e latifundiários da região de Pesqueira, no interior do Pernambuco, vinculados às lutas pela preservação de terras indígenas, bem como ao assassinato da liderança Chicão Xucuru. Com relação aos Fulni-ô, a principal forma de violência relatada está relacionada aos conflitos com uma companhia de energia instalada dentro de terras indígenas e à desagregação cultural. Por outro lado, para os Barés a principal violência refere-se aos conflitos relativos à exploração de minérios em suas terras. Quanto às formas de resistência, destaca-se que a principal estratégia tem sido a articulação e organização de lideranças indígenas das respectivas comunidades, por meio de iniciativas de base comunitária, segmentada por etnias."
Conclusão," As principais formas de violência relacionadas ao período estudado referem-se, respectivamente, aos conflitos relacionados à disputa pelo território com a empresa Aracruz, para o povo indígena Tupinikim do Espírito Santo, aos confrontos entre indígenas Xucuru e latifundiários da região de Pesqueira, no interior do Pernambuco, vinculados às lutas pela preservação de terras indígenas, bem como ao assassinato da liderança Chicão Xucuru. Com relação aos Fulni-ô, a principal forma de violência relatada está relacionada aos conflitos com uma companhia de energia instalada dentro de terras indígenas e à desagregação cultural. Por outro lado, para os Barés a principal violência refere-se aos conflitos relativos à exploração de minérios em suas terras. Quanto às formas de resistência, destaca-se que a principal estratégia tem sido a articulação e organização de lideranças indígenas das respectivas comunidades, por meio de iniciativas de base comunitária, segmentada por etnias."
Palavras-Chave," Conflito socioambiental indígena, resistência indígena, violência, "
Colaboradores, Denise Osorio Severo Bruno Moura
Histórias infantis contendo valores/virtudes humanas,TituloTrabalho
Bolsista, Graciela Hösel
Unidade Acadêmica, Psicologia 
Instituição, UnB
Orientador (a), LAERCIA ABREU VASCONCELOS
Introdução," A literatura é um meio eficiente de transmissão da cultura, valores, crenças, e outros padrões comportamentais específicos. No entanto, a baixa frequência do comportamento de ler de crianças e jovens junto ao aumento de utilização de outras mídias como a televisão, aponta para a necessidade de investimentos de pesquisas voltadas para estimulação de leitura. Assim, contingências de reforçamento positivo, em um ambiente lúdico nos contextos escolar e familiar contribuem para a formação do leitor criança. O desenvolvimento de uma visão crítica de conteúdos e imagens apresentados permite que o cidadão-criança seja capaz de lidar com temas complexos e por vezes com versões contraditórias. O objetivo da pesquisa foi estimular a leitura de crianças utilizando três livros com histórias de tamanhos crescentes."
